Чек	Код товара	Цена	Карта клиента	Дата	Точка продажи	Способ оплаты	Тип карты	Количество	Сумма
CH939587174	352052	971	80917135	14.01.2013 12:29:00	1062	наличные	красная	2	1844,9
CH939599975	350999	356,4	2364105	27.01.2013 20:40:00	1080	наличные	золотая	2	641,52
CH939656217	353200	9,2	88116201	25.01.2013 19:22:00	1062	наличные	красная	18	157,32
CH939739498	350044	448	51019246	02.02.2013 20:01:00	1062	наличные	красная	2	851,2
CH939815870	350735	378,4	65121521	11.02.2013 16:38:00	1062	наличные	красная	2	718,96
CH939840095	350054	1567,2	92016941	01.03.2013 13:42:00	1060	наличные	красная	2	2977,68
CH939853011	352358	627,8	98313564	01.03.2013 18:22:00	1060	наличные	красная	2	1192,82
CH939869221	352647	18,4	76017791	13.03.2013 17:03:00	1062	наличные	красная	10	174,8
CH939890968	352230	976,8	12311722	11.03.2013 17:12:00	1060	наличные	красная	2	1855,92
CH988567608	350055	1553,8	18915560	02.04.2014 17:01:00	1060	наличные	красная	2	2952,22
CH972102577	353267	442,2	1047178	29.03.2014 16:52:00	1060	наличные	красная	2	840,18
CH8396199041783	353375	429	56319407	05.10.2013 18:37:00	1060	наличные	красная	2	815,1
CH9365728994125	352751	567,6	5666915	23.09.2013 12:02:00	1060	наличные	красная	2	1078,44
CH94099475714056	350253	1190,2	7594788	30.01.2014 17:45:00	1060	наличные	золотая	2	2142,36
CH9369630674763	351968	9387	98710304	05.11.2013 20:50:00	1060	наличные	красная	2	17835,3
CH9374694995697	352832	648	489334	21.02.2014 16:58:00	1060	наличные	красная	2	1231,2
CH9382787867297	350520	549,8	15710841	18.12.2013 17:52:00	1060	наличные	красная	2	1044,62
CH9382910847336	350188	1191,6	8857594	05.03.2014 14:34:00	1060	наличные	красная	2	2264,04
CH9386621918486	352031	244,2	1696202	06.02.2014 16:58:00	1060	наличные	красная	2	463,98
CH9349132282318	353619	69,2	7231405	02.09.2013 19:22:00	1060	наличные	золотая	4	249,12
CH9390748579768	351408	1189,6	4784320	20.02.2014 9:24:00	1062	наличные	золотая	2	2141,28
CH93937029110664	351370	934,2	4154537	16.09.2013 18:21:00	1062	наличные	золотая	2	1681,56
CH93952564511207	350636	1032	9878251	09.04.2014 13:39:00	1060	наличные	красная	2	1960,8
CH93970528811919	353135	248,4	60110097	11.03.2014 14:46:00	1060	наличные	красная	2	471,96
CH1070509134380	351733	191	17716078	27.02.2014 17:19:00	1060	наличные	красная	2	362,9
CH6289599510784	352760	158,8	27422626	04.03.2013 10:14:00	1062	наличные	красная	2	301,72
CH6721605160939	351798	2685	36320984	18.10.2012 11:47:00	1062	наличные	красная	2	5101,5
CH69619227601054	350052	1615,4	73121729	03.01.2013 10:57:00	1060	наличные	красная	2	3069,26
CH939951820012612	351452	569,8	7704822	30.10.2012 16:03:00	1062	наличные	золотая	2	1025,64
CH93681249804589	352491	3628,8	406687	16.12.2012 9:28:00	1060	наличные	красная	2	6894,72
CH940979632014042	352014	864	93413541	23.12.2012 18:24:00	1060	наличные	красная	2	1641,6
CH93717286405121	352182	23,8	8378030	02.10.2012 17:47:00	1080	наличные	красная	14	316,54
CH93722694205229	350451	382,6	8917885	03.09.2012 13:47:00	1060	наличные	красная	2	726,94
CH93783154306426	350253	1190,2	1917758	14.11.2012 15:22:00	1060	наличные	красная	2	2261,38
CH93811302906997	352100	462	2849486	21.12.2012 10:41:00	1060	наличные	красная	2	877,8
CH93854525308230	352112	14,6	79713766	03.01.2013 14:31:00	1060	наличные	красная	20	277,4
CH93872944108753	353068	448,8	7483776	11.10.2012 11:41:00	1062	наличные	золотая	2	807,84
CH93897120309500	351271	828	41116430	17.09.2012 18:55:00	1060	наличные	красная	2	1573,2
CH93497988702412	350504	435	9926545	21.04.2013 9:53:00	1080	наличные	красная	2	826,5
CH939355552010743	350493	294	16910670	19.09.2012 13:51:00	1060	наличные	красная	2	558,6
CH939416641010920	353090	283,8	19517636	21.02.2013 11:10:00	1062	наличные	красная	2	539,22
CH93544697703271	352309	2490	215732	22.09.2012 9:15:00	1080	наличные	золотая	2	4482
CH939486103011115	352500	92,8	6688702	03.12.2012 16:49:00	1060	наличные	красная	20	1763,2
CH1020104530088	350122	309,4	14813	23.10.2012 14:29:00	1080	наличные	красная	2	587,86
CH10720598330392	353090	283,8	15916095	23.09.2012 13:05:00	1060	наличные	красная	2	539,22
